osm_id,highway,name,name_es,lanes,lanes_forward,lanes_backward,turn_lanes,oneway,maxspeed,surface,width,road_category,lanes_count,lanes_source,has_lane_data,lanes_missing,lanes_estimate,estimate_is_fallback,is_oneway
23430419,tertiary,Calle 74,,2,,,,yes,30,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,True
23502415,residential,Carrera 23,,2,,,,yes,30,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,True
23579232,secondary,Avenida Calle 63,,2,,,,yes,,asphalt,,collector,2.0,osm:lanes,True,False,2.0,False,True
23592317,secondary,Avenida Calle 72,,2,,,,yes,,asphalt,,collector,2.0,osm:lanes,True,False,2.0,False,True
23592319,residential,Calle 74,,2,,,,,30,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,False
23592322,secondary,Avenida Calle 63,,3,,,,yes,30,asphalt,,collector,3.0,osm:lanes,True,False,3.0,False,True
23592326,tertiary,Carrera 20,,2,,,,yes,,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,True
24018402,trunk,Avenida Calle 80,,3,,,,yes,30,asphalt,,arterial,3.0,osm:lanes,True,False,3.0,False,True
24018409,trunk,Avenida Calle 80,,3,,,,yes,,asphalt,,arterial,3.0,osm:lanes,True,False,3.0,False,True
24018410,trunk,Avenida Calle 80,,3,,,,yes,,asphalt,,arterial,3.0,osm:lanes,True,False,3.0,False,True
24020502,trunk,Avenida Calle 80,,4,,,,yes,,asphalt,,arterial,4.0,osm:lanes,True,False,4.0,False,True
24020503,trunk,Avenida Calle 80,,3,,,,yes,,asphalt,,arterial,3.0,osm:lanes,True,False,3.0,False,True
24020504,trunk,Avenida Calle 80,,4,,,,yes,,asphalt,,arterial,4.0,osm:lanes,True,False,4.0,False,True
24021995,trunk,Avenida Carrera 30,,3,,,,yes,60,concrete,,arterial,3.0,osm:lanes,True,False,3.0,False,True
24031622,residential,Calle 77,,2,,,,yes,,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,True
24032094,residential,Calle 80,,1,,,,yes,,asphalt,,local,1.0,osm:lanes,True,False,1.0,False,True
24038164,trunk,Avenida Carrera 20,,2,,,,yes,,concrete,,arterial,2.0,osm:lanes,True,False,2.0,False,True
24084269,tertiary,Calle 87,,2,,,,yes,30,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,True
24084325,secondary,Avenida Calle 68,,2,,,,yes,,asphalt,,collector,2.0,osm:lanes,True,False,2.0,False,True
24177062,secondary,Avenida Calle 68,,2,,,,yes,,asphalt,,collector,2.0,osm:lanes,True,False,2.0,False,True
24177067,secondary,Avenida Calle 68,,2,,,,yes,,asphalt,,collector,2.0,osm:lanes,True,False,2.0,False,True
24177072,secondary,Avenida Calle 68,,2,,,,yes,,asphalt,,collector,2.0,osm:lanes,True,False,2.0,False,True
24177074,secondary,Avenida Calle 68,,2,,,,yes,,asphalt,,collector,2.0,osm:lanes,True,False,2.0,False,True
24177891,secondary,Avenida Calle 63,,3,,,,yes,,asphalt,,collector,3.0,osm:lanes,True,False,3.0,False,True
24177892,secondary,Avenida Calle 63,,3,,,,yes,30,asphalt,,collector,3.0,osm:lanes,True,False,3.0,False,True
24234025,primary,Avenida Carrera 50,,2,,,,yes,60,concrete,,arterial,2.0,osm:lanes,True,False,2.0,False,True
24234026,primary,Avenida Carrera 50,,2,,,,yes,,asphalt,,arterial,2.0,osm:lanes,True,False,2.0,False,True
24237108,tertiary,Calle 44,,2,,,,yes,,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,True
24249645,residential,Carrera 56A,,2,,,,,,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,False
24249647,residential,Carrera 54,,2,,,,,,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,False
24249649,residential,Carrera 53,,2,,,,yes,,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,True
24249661,residential,Carrera 51,,2,,,,,30,concrete,,local,2.0,osm:lanes,True,False,2.0,False,False
24249675,residential,Calle 46,,2,,,,,,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,False
24249676,residential,Calle 46,,2,,,,,,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,False
24249685,residential,Calle 44C Bis,,2,,,,,30,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,False
24249696,residential,Calle 45A,,,,,,,,asphalt,,local,,missing,False,True,,True,False
24249699,residential,Calle 45A,,2,,,,,,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,False
24249705,residential,Carrera 53,,,,,,,,asphalt,,local,,missing,False,True,,True,False
24265702,secondary,Diagonal 61C,,2,,,,yes,30,asphalt,,collector,2.0,osm:lanes,True,False,2.0,False,True
24265705,residential,Calle 62,,,,,,,,asphalt,,local,,missing,False,True,,True,False
24265707,residential,Calle 61,,2,,,,,,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,False
24265709,residential,Calle 60,,2,,,,,,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,False
24265710,residential,Calle 60,,2,,,,,,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,False
24265711,residential,Calle 58,,2,,,,,,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,False
